"","m0","notas.bcra","reserves","badlar","exchange","month","year","date","date2","regime","convertion1","convertion2","notas.bcra.dollars","m0.dollars","m0.frac","notas.bcra.frac"
"141",100723,55079.7,50039.1,8.3125,3.1558,3,2008,"2008-3",2008-03-01,"CFK1",2.01288592320805,3.11361914982484,17453.4824767095,31916.7881361303,0.646477885171438,0.353522114828562
"5",98038,55082.7,50329.9,9.75,3.1665,4,2008,"2008-4",2008-04-01,"CFK1",1.94790770496266,3.0423406364805,17395.4523922312,30960.9979472604,0.640266142983934,0.359733857016066
"161",98765,53046.3,49448.8,16.9375,3.1511,5,2008,"2008-5",2008-05-01,"CFK1",1.99731843846565,3.07007045671482,16834.2166227667,31343.0230713084,0.650577394436383,0.349422605563617
"121",100512,49945.5,47918.3,16.25,3.0434,6,2008,"2008-6",2008-06-01,"CFK1",2.09757023934488,3.13987557989328,16411.0862850759,33026.2206742459,0.668042470465081,0.331957529534918
"101",100676,47985.2,47600.4,12.6875,3.0223,7,2008,"2008-7",2008-07-01,"CFK1",2.11502424349375,3.12310820917471,15877.0472818714,33311.0544949211,0.677217727288627,0.322782272711373
"25",100723,48143.1,47300.4,12.1875,3.0333,8,2008,"2008-8",2008-08-01,"CFK1",2.12943230924051,3.14724822623065,15871.5260607259,33205.7495137309,0.676601321590342,0.323398678409658
"219",101628,48687.7,47072.2,12.5625,3.0824,9,2008,"2008-9",2008-09-01,"CFK1",2.15898130956276,3.19330092921087,15795.3867116533,32970.4126654555,0.676097041094177,0.323902958905823
"200",102453,47547.3,46608.2,23,3.2385,10,2008,"2008-10",2008-10-01,"CFK1",2.1981754283581,3.21832424337348,14681.8897637795,31635.9425660028,0.683018633962732,0.316981366037268
"181",101146,44292.4,45663.5,18.6875,3.3292,11,2008,"2008-11",2008-11-01,"CFK1",2.21502950934554,3.18500333964764,13304.2172293644,30381.4730265529,0.695455945609963,0.304544054390037
"44",106439,39363.6,46198.4,19.75,3.4226,12,2008,"2008-12",2008-12-01,"CFK1",2.30395424949782,3.15600973193877,11501.0810494945,31098.8722024192,0.730021275340769,0.269978724659231
"63",105121,37914.4,46789.4,13.0625,NA,1,2009,"2009-1",2009-01-01,"CFK1",2.24668407801767,3.05700436423634,NA,NA,NA,NA
"82",102740,37871.8,47058,11.8125,NA,2,2009,"2009-2",2009-02-01,"CFK1",2.18326320710612,2.98805304092822,NA,NA,NA,NA
"142",101348,34947.4,46933.5,12.375,NA,3,2009,"2009-3",2009-03-01,"CFK1",2.15939574078217,2.90401099427914,NA,NA,NA,NA
"6",99835,34786.6,46268.2,12.75,NA,4,2009,"2009-4",2009-04-01,"CFK1",2.15774549258454,2.90959233339529,NA,NA,NA,NA
"162",99649,35153,46556.3,12.9375,NA,5,2009,"2009-5",2009-05-01,"CFK1",2.14039775497623,2.89546205347074,NA,NA,NA,NA
"122",103652,33823.7,46385.1,12.9375,NA,6,2009,"2009-6",2009-06-01,"CFK1",2.23459688563785,2.96379009638871,NA,NA,NA,NA
"102",105960,33109.5,45992.2,13.1875,NA,7,2009,"2009-7",2009-07-01,"CFK1",2.3038689169033,3.0237627249838,NA,NA,NA,NA
"26",105293,34925.6,44850.8,12.5,NA,8,2009,"2009-8",2009-08-01,"CFK1",2.34762813595298,3.12633442435809,NA,NA,NA,NA
"220",106268,38605.1,45192.8,12.1875,3.8424,9,2009,"2009-9",2009-09-01,"CFK1",2.35143651201076,3.20566771698147,10047.1320008328,27656.6729127629,0.733524719219786,0.266475280780214
"201",107280,40923.6,45733,11.375,3.8262,10,2009,"2009-10",2009-10-01,"CFK1",2.3457896923447,3.24062711827346,10695.6249019915,28038.2625058805,0.723869055812409,0.276130944187591
"182",109548,44113.1,46803.8,10.0625,3.811,11,2009,"2009-11",2009-11-01,"CFK1",2.34057918374149,3.28309026190181,11575.2033586985,28745.2112306481,0.712919535262991,0.287080464737009
"45",118661,44593.1,47716.7,10,3.807,12,2009,"2009-12",2009-12-01,"CFK1",2.48678135747024,3.42131999907789,11713.4489099028,31169.1620698713,0.726848514064884,0.273151485935116
"64",121668,43571.4,48116.4,9.75,3.8042,1,2010,"2010-1",2010-01-01,"CFK1",2.52861810110482,3.43415966281767,11453.4987645234,31982.5456074865,0.736313494239267,0.263686505760733
"83",119268,43395.3,47958.7,9.5,3.8512,2,2010,"2010-2",2010-02-01,"CFK1",2.48688976139887,3.39173705709287,11267.9943913585,30969.048608226,0.733220093284717,0.266779906715282
"143",120224,45806,47681.9,9.375,3.8627,3,2010,"2010-3",2010-03-01,"CFK1",2.52137603577039,3.48203406323993,11858.544541383,31124.3430760867,0.724110100584232,0.275889899415768
"7",120496,48156.5,47551.8,9.25,3.8761,4,2010,"2010-4",2010-04-01,"CFK1",2.53399450704285,3.54671116550793,12423.957070251,31086.9172621965,0.714463171313796,0.285536828686204
"163",123554,50317.5,48470.7,9.75,3.902,5,2010,"2010-5",2010-05-01,"CFK1",2.54904509322127,3.58714646167685,12895.310097386,31664.2747309072,0.710605245828097,0.289394754171903
"123",126748,53197.3,49229,10.3125,3.9265,6,2010,"2010-6",2010-06-01,"CFK1",2.57466127688964,3.65527026752524,13548.27454476,32280.1477142493,0.704369605652384,0.295630394347616
"103",133808,56108.6,50448.5,10.4375,3.9348,7,2010,"2010-7",2010-07-01,"CFK1",2.65236825673707,3.76456386215646,14259.5811731219,34006.3027345735,0.7045618971696,0.2954381028304
"27",135535,61231.4,50209.7,10.375,3.9376,8,2010,"2010-8",2010-08-01,"CFK1",2.69937880529061,3.91889216625473,15550.4368143031,34420.713124746,0.688811707689931,0.311188292310069
"221",137879,66234.6,50920.1,10.4375,3.9519,9,2010,"2010-9",2010-09-01,"CFK1",2.70775194864111,4.00850744597909,16760.1913003872,34889.2937574331,0.675501289478016,0.324498710521984
"202",142096,69126.6,51606.9,10.875,3.957,10,2010,"2010-10",2010-10-01,"CFK1",2.75343025835693,4.09291393205172,17469.446550417,35910.0328531716,0.672731042984984,0.327268957015016
"183",145411,69704.6,52236.1,10.9375,3.9676,11,2010,"2010-11",2010-11-01,"CFK1",2.78372619701701,4.11814051967892,17568.4544812985,36649.6118560339,0.675966782511357,0.324033217488643
"46",156104,70713.2,52132.3,11.25,3.9776,12,2010,"2010-12",2010-12-01,"CFK1",2.99438160219288,4.35079979206749,17777.855993564,39245.7763475463,0.688237047278601,0.311762952721399
"65",162719,72842.9,52364.9,11.125,3.9813,1,2011,"2011-1",2011-01-01,"CFK1",3.10740591503087,4.49846939457537,18296.2600155728,40870.8210885892,0.690769602384766,0.309230397615234
"84",162465,76410.2,52427,11,4.022,2,2011,"2011-2",2011-02-01,"CFK1",3.09888034791234,4.55633929082343,18998.0606663352,40394.082545997,0.680125019256917,0.319874980743083
"144",164445,79331.6,52287.1,11.125,4.0372,3,2011,"2011-3",2011-03-01,"CFK1",3.1450395986773,4.6622704261663,19650.1535717824,40732.4383235906,0.674572538955749,0.325427461044251
"8",167839,82774.6,51637.3,10.8125,4.0655,4,2011,"2011-4",2011-04-01,"CFK1",3.25034422791277,4.85334438477612,20360.2508916492,41283.7289386299,0.669712258233392,0.330287741766608
"164",171485,84040.5,51986.8,11.3125,4.0839,5,2011,"2011-5",2011-05-01,"CFK1",3.29862580501204,4.91519962759777,20578.4911481672,41990.4992776513,0.671107188910696,0.328892811089304
"124",176931,86178.1,52094.3,11.4375,4.096,6,2011,"2011-6",2011-06-01,"CFK1",3.39636006242526,5.05063125908209,21039.5751953125,43196.044921875,0.672462487994524,0.327537512005476
"104",186025,85137.1,51852.2,12,4.1276,7,2011,"2011-7",2011-07-01,"CFK1",3.58760091182245,5.22951967322505,20626.296152728,45068.5628452369,0.686028762869147,0.313971237130853
"28",188973,80434.8,50387.8,12.625,4.168,8,2011,"2011-8",2011-08-01,"CFK1",3.75037211388471,5.34668709489202,19298.1765834933,45339.0115163148,0.70143848841793,0.29856151158207
"222",190570,78314.5,49421,14,4.2042,9,2011,"2011-9",2011-09-01,"CFK1",3.85605309483823,5.44069322757532,18627.6818419676,45328.4810427668,0.708742973284068,0.291257026715932
"203",191897,75622.5,48038.1,20.0625,4.2221,10,2011,"2011-10",2011-10-01,"CFK1",3.99468338672845,5.56890260022774,17911.1105847801,45450.6051490964,0.717319672023909,0.282680327976091
"184",196055,70114.7,46464.7,18.9375,4.2601,11,2011,"2011-11",2011-11-01,"CFK1",4.21943970368904,5.7284282476805,16458.4634163517,46021.2201591512,0.736578956958662,0.263421043041338
"47",210100,65208.9,45982.5,17.1875,4.2888,12,2011,"2011-12",2011-12-01,"CFK1",4.56912956015876,5.98725384657207,15204.4627867935,48988.0619287446,0.763142782525374,0.236857217474626
"66",220630,69348.6,46557.3,15.0625,4.3206,1,2012,"2012-1",2012-01-01,"CFK2",4.73889164534885,6.22842389915223,16050.6874045272,51064.6669444059,0.760849248875607,0.239150751124393
"85",207845,74690.7,46811.2,13.5,4.3463,2,2012,"2012-2",2012-02-01,"CFK2",4.44006989780224,6.03564317941006,17184.892897407,47821.1352184617,0.735641549014868,0.264358450985132
"145",216343,76798.6,47168.3,12.25,4.3563,3,2012,"2012-3",2012-03-01,"CFK2",4.58661855525851,6.21480104222539,17629.3184583247,49662.0985698873,0.738015348213969,0.261984651786031
"9",220604,77749.6,47462.3,11.75,4.3978,4,2012,"2012-4",2012-04-01,"CFK2",4.64798376816968,6.28611761334786,17679.2032379826,50162.3539042248,0.739404518665101,0.260595481334899
"165",223779,80550.8,47435.8,11.75,4.4504,5,2012,"2012-5",2012-05-01,"CFK2",4.71751293326981,6.41561436720789,18099.676433579,50282.8959194679,0.735317408942535,0.264682591057465
"125",236884,81983.1,46603.6,13.625,4.4978,6,2012,"2012-6",2012-06-01,"CFK2",5.0829549648525,6.84211305564377,18227.3778291609,52666.6370225444,0.742892571858307,0.257107428141693
"105",252128,81588.1,46647.2,13.5,4.5528,7,2012,"2012-7",2012-07-01,"CFK2",5.40499751324838,7.1540435438783,17920.4225970831,55378.668072395,0.755516440471407,0.244483559528593
"29",258124,82539.1,45256.6,14.4375,4.6098,8,2012,"2012-8",2012-08-01,"CFK2",5.70356588873225,7.52736838383794,17905.1368822942,55994.6201570567,0.757710477007929,0.24228952299207
